field_type,name,variableName,required,description,selectType,minValue,maxValue,stepValue,defaultValue,precision,unitLabel,minLength,maxLength,lastModifiedBy,quantitySelectionLinked,enrichEnabled,defaultType,defaultBomType,defaultParentProduct,defaultUom,defaultPricingProductSellingModelId,defaultPricingStartDate,defaultPricingEndDate
PicklistField,KN Type Hidden,kNTypeHidden,false,,multi,,,,,,,,,mckell01@demo01.logik.io,,,,,,,,,
NumberField,KN Panel Qty,kNPanelQty,false,,,,,,,32,,,,mckell01@demo01.logik.io,,,,,,,,,
TextField,KN Hidden,kNHidden,false,,,,,,,,,,,mckell01@demo01.logik.io,,,,,,,,,
NumberField,KN Length,kNLength,false,,,,,,,32,,,,mckell01@demo01.logik.io,,,,,,,,,
PicklistField,KN Features,kNFeatures,true,,single,,,,Standard,,,,,mckell01@demo01.logik.io,,,,,,,,,
PicklistField,KN Help Links,kNHelpLinks,false,,single,,,,,,,,,mckell01@demo01.logik.io,,,,,,,,,
NumberField,KN Width,kNWidth,false,,,,,,,32,,,,mckell01@demo01.logik.io,,,,,,,,,
NumberField,KN Weight,kNWeight,false,,,,,,,32,,,,mckell01@demo01.logik.io,,,,,,,,,
PicklistField,KN Article Number,kNArtNum,false,,single,,,,,,,,,mckell01@demo01.logik.io,,,,,,,,,
PicklistField,KN Planking Options,kNPlankingOptions,false,,multi,,,,,,,,,mckell01@demo01.logik.io,,,,,,,,,
PicklistField,KN Lock Type,kNLockType,false,,single,,,,,,,,,mckell01@demo01.logik.io,,,,,,,,,
TextField,KN Hidden Set,kNHiddenSet,false,,,,,,,,,,,mckell01@demo01.logik.io,,,,,,,,,
PicklistField,KN Type,kNType,false,,multi,,,,,,,,,mckell01@demo01.logik.io,,,,,,,,,
PicklistField,KN Structural Feat,kNStructFeat,false,,multi,,,,,,,,,mckell01@demo01.logik.io,,,,,,,,,
PicklistField,KN Region,kNRegion,false,,single,,,,,,,,,mckell01@demo01.logik.io,,,,,,,,,
PicklistField,KN Location,kNLoc,true,,multi,,,,,,,,,mckell01@demo01.logik.io,,,,,,,,,
PicklistField,KN Model Size,kNSize,false,,single,,,,,,,,,mckell01@demo01.logik.io,,,,,,,,,
BooleanField,KN Custom Lock,kNCustomLock,false,,,,,,false,,,,,mckell01@demo01.logik.io,,,,,,,,,
PicklistField,KN Product,kNProduct,false,,single,,,,,,,,,mckell01@demo01.logik.io,,,,,,,,,
